CookerStat, GenerateAssetRegistry=0.026025, Initialize=0.129029, RunGuid=RunIDC659751B4CD7CD7D9F06E9BCAC085354
DDCTransactionId46F34C5D450E31D635CC6FBA54820953_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0696967E4557D4A09166DCB41157E407__1_0_13123_0, StartTime=2016.04.06-17.14.56, HierarchicalDDC=, DataSize=458, Duration=1.241904, RunGuid=RunIDC659751B4CD7CD7D9F06E9BCAC085354
DDCTransactionIdE41BC430488B97D80D6B3FBACA2FE60F_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B634A0564AB58A6CDD48ADAA7B34927E__1_0_13123_0, StartTime=2016.04.06-17.14.56, HierarchicalDDC=, DataSize=458, Duration=1.036260, RunGuid=RunIDC659751B4CD7CD7D9F06E9BCAC085354
DDCTransactionId208462FD4299DAE71ED1DCBD0803C8F2_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_86825F4E4C3BB4FF2C1B4EA33639E0DF__1_0_13123_0, StartTime=2016.04.06-17.14.57, HierarchicalDDC=, DataSize=423, Duration=1.251802, RunGuid=RunIDC659751B4CD7CD7D9F06E9BCAC085354
DDCTransactionId46F34C5D450E31D635CC6FBA54820953_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8745BD9B4C97E35A8B9B6EA87D7B15F6__1_0_13123_0, StartTime=2016.04.06-17.14.57, HierarchicalDDC=, DataSize=442, Duration=1.410887, RunGuid=RunIDC659751B4CD7CD7D9F06E9BCAC085354
DDCTransactionIdE41BC430488B97D80D6B3FBACA2FE60F_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3098CB434961CA9308D18399E8E03D76__1_0_13123_0, StartTime=2016.04.06-17.14.57, HierarchicalDDC=, DataSize=468, Duration=1.284424, RunGuid=RunIDC659751B4CD7CD7D9F06E9BCAC085354
DDCTransactionId208462FD4299DAE71ED1DCBD0803C8F2_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_173C452449DF39608FC6B99C386918EE__1_0_13123_0, StartTime=2016.04.06-17.14.57, HierarchicalDDC=, DataSize=347, Duration=0.817794, RunGuid=RunIDC659751B4CD7CD7D9F06E9BCAC085354
DDCTransactionId46F34C5D450E31D635CC6FBA54820953_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C03D43E44B16DC152D06FEB87C9BD793__1_0_13123_0, StartTime=2016.04.06-17.14.57, HierarchicalDDC=, DataSize=449, Duration=1.389626, RunGuid=RunIDC659751B4CD7CD7D9F06E9BCAC085354
DDCTransactionIdE41BC430488B97D80D6B3FBACA2FE60F_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8971E88E4E6AD04D6872B2B255EF59FA__1_0_13123_0, StartTime=2016.04.06-17.14.57, HierarchicalDDC=, DataSize=385, Duration=0.778206, RunGuid=RunIDC659751B4CD7CD7D9F06E9BCAC085354
